City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Marigot,MF,18.0667,-63.0833,86.22,66,40,12.66,scattered clouds
1,Yuksekova,TR,37.5736,44.2872,70.43,44,0,5.39,clear sky
2,Barrow,US,71.2906,-156.7887,29.52,85,100,10.18,overcast clouds
3,Longyearbyen,SJ,78.2186,15.6401,35.44,69,75,8.05,broken clouds
4,Hambantota,LK,6.1241,81.1185,81.12,81,81,20.85,broken clouds
5,Busselton,AU,-33.65,115.3333,51.08,85,93,5.41,overcast clouds
6,Adrar,MR,20.5022,-10.0711,103.57,14,87,4.63,overcast clouds
7,Buraydah,SA,26.326,43.975,106.25,10,64,10.71,broken clouds
8,Hobart,AU,-42.8794,147.3294,48.92,75,100,4.0,overcast clouds
9,Mataura,NZ,-46.1927,168.8643,40.55,97,91,2.06,overcast clouds
10,Kodiak,US,57.79,-152.4072,45.91,87,90,16.11,light rain
11,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,80,90,18.41,overcast clouds
12,Albany,US,42.6001,-73.9662,58.14,80,100,6.53,overcast clouds
13,Bengkulu,ID,-3.8004,102.2655,77.14,91,100,4.45,overcast clouds
14,Punta Arenas,CL,-53.15,-70.9167,33.82,74,0,2.19,clear sky
15,Trelew,AR,-43.249,-65.3051,48.43,71,100,14.0,light rain
16,Rikitea,PF,-23.1203,-134.9692,74.17,66,0,13.4,clear sky
17,Ponta Do Sol,PT,32.6667,-17.1,72.12,73,59,1.99,broken clouds
18,Isla Mujeres,MX,21.2311,-86.731,87.17,64,13,9.13,few clouds
19,Almeirim,BR,-1.5233,-52.5817,87.57,62,4,3.27,clear sky
20,Acapulco,MX,16.8634,-99.8901,88.93,58,71,7.38,broken clouds
21,Tigil,RU,57.8,158.6667,38.37,80,37,2.37,scattered clouds
22,Tamandare,BR,-8.7597,-35.1047,82.22,70,38,8.01,scattered clouds
23,Cherskiy,RU,68.75,161.3,52.97,39,21,8.3,few clouds
24,Kapaa,US,22.0752,-159.319,75.18,100,62,2.42,broken clouds
25,Buckie,GB,57.6757,-2.9624,73.11,64,41,19.46,scattered clouds
26,Ushuaia,AR,-54.8,-68.3,31.66,86,75,5.75,broken clouds
27,Hermanus,ZA,-34.4187,19.2345,56.89,80,51,7.07,light rain
28,Kahului,US,20.8947,-156.47,81.84,70,31,2.06,scattered clouds
29,New Norfolk,AU,-42.7826,147.0587,48.58,81,100,3.78,overcast clouds
30,Darhan,MN,49.4867,105.9228,39.88,56,27,4.74,scattered clouds
31,Baherden,TM,38.4362,57.4316,89.94,27,1,6.33,clear sky
32,Rocha,UY,-34.4833,-54.3333,61.9,53,24,18.79,few clouds
33,Pevek,RU,69.7008,170.3133,39.25,66,26,1.97,scattered clouds
34,Butaritari,KI,3.0707,172.7902,82.87,76,29,16.31,scattered clouds
35,Tiksi,RU,71.6872,128.8694,35.1,88,8,0.4,clear sky
36,Cockburn Town,TC,21.4612,-71.1419,85.96,62,40,12.66,scattered clouds
37,Quatre Cocos,MU,-20.2078,57.7625,73.51,73,1,10.33,clear sky
38,Yellowknife,CA,62.456,-114.3525,53.33,57,20,1.01,few clouds
39,Koraput,IN,18.8167,82.7167,78.21,65,94,9.44,moderate rain
40,Ribeira Grande,PT,38.5167,-28.7,64.8,72,75,10.36,broken clouds
41,Castro,BR,-24.7911,-50.0119,57.45,97,100,2.1,overcast clouds
42,Cape Town,ZA,-33.9258,18.4232,58.26,91,75,4.07,light rain
43,Atuona,PF,-9.8,-139.0333,79.05,68,42,11.18,scattered clouds
44,Eirunepe,BR,-6.6603,-69.8736,82.83,80,96,2.68,overcast clouds
45,Vila Velha,BR,-20.3297,-40.2925,85.96,80,40,5.99,scattered clouds
46,Kambove,CD,-10.8764,26.5969,60.98,48,7,2.35,clear sky
47,Kedrovyy,RU,56.1667,91.8167,41.41,83,43,5.14,scattered clouds
48,Puerto Ayora,EC,-0.7393,-90.3518,76.55,84,81,8.01,broken clouds
49,Port-Cartier,CA,50.0334,-66.8654,45.93,94,100,7.52,overcast clouds
50,Evanston,US,42.0411,-87.6901,71.22,44,90,1.01,overcast clouds
51,Qaanaaq,GL,77.484,-69.3632,33.24,88,100,1.68,overcast clouds
52,Mahebourg,MU,-20.4081,57.7,73.69,83,40,6.91,scattered clouds
53,Coihaique,CL,-45.5752,-72.0662,48.81,93,90,10.36,overcast clouds
54,Vilyuysk,RU,63.7553,121.6247,50.32,48,15,2.39,few clouds
55,Upernavik,GL,72.7868,-56.1549,31.39,90,100,3.74,overcast clouds
56,Dunedin,NZ,-45.8742,170.5036,43.81,79,100,14.0,overcast clouds
57,Athabasca,CA,54.7169,-113.2854,64.81,58,66,10.36,broken clouds
58,Port Alfred,ZA,-33.5906,26.891,61.45,76,100,9.19,light rain
59,Bathsheba,BB,13.2167,-59.5167,88.41,51,40,19.46,scattered clouds
60,San Jeronimo,PE,-11.9472,-75.2829,59.63,51,100,2.59,overcast clouds
61,Tuatapere,NZ,-46.1333,167.6833,41.14,86,63,2.59,broken clouds
62,Saint George,US,37.1041,-113.5841,90.07,13,15,3.0,few clouds
63,Inhambane,MZ,-23.865,35.3833,71.58,78,40,5.01,scattered clouds
64,Toyooka,JP,35.5333,134.8333,55.72,92,1,1.66,clear sky
65,Bony,HU,47.65,17.8698,65.01,55,0,9.22,clear sky
66,Andros Town,BS,24.7,-77.7667,84.16,67,21,13.18,few clouds
67,Mar Del Plata,AR,-38.0023,-57.5575,59.09,44,75,1.99,broken clouds
68,Saldanha,ZA,-33.0117,17.9442,60.85,77,8,8.16,clear sky
69,Ahipara,NZ,-35.1667,173.1667,58.01,77,11,12.53,few clouds
70,Nikolskoye,RU,59.7035,30.7861,55.4,71,100,4.21,light rain
71,Lebu,CL,-37.6167,-73.65,57.61,94,100,12.82,light rain
72,Sola,VU,-13.8833,167.55,76.91,84,100,13.29,heavy intensity rain
73,Tashla,RU,51.7716,52.7427,63.66,93,92,15.08,overcast clouds
74,Igualada,ES,41.581,1.6172,76.96,45,100,11.01,overcast clouds
75,Iqaluit,CA,63.7506,-68.5145,35.33,74,75,2.3,light rain
76,Iskateley,RU,67.6803,53.1512,43.09,79,100,15.46,overcast clouds
77,Moscow,RU,55.7522,37.6156,53.38,60,98,5.46,overcast clouds
78,Port Elizabeth,ZA,-33.918,25.5701,59.29,77,0,16.11,clear sky
79,Nangong,CN,37.3581,115.3744,70.32,69,100,5.91,overcast clouds
80,Jamestown,US,42.097,-79.2353,67.17,44,54,3.0,broken clouds
81,Olafsvik,IS,64.8945,-23.7142,46.13,76,77,19.1,broken clouds
82,Hovd,MN,48.0056,91.6419,51.19,38,0,2.46,clear sky
83,Raga,SS,8.4596,25.678,87.64,31,66,2.66,broken clouds
84,Barranca,PE,-10.75,-77.7667,68.86,73,98,8.81,overcast clouds
85,Carnarvon,AU,-24.8667,113.6333,60.87,82,1,12.66,clear sky
86,Lindi,TZ,-10.0,39.7167,72.84,90,10,3.29,clear sky
87,Matadi,CD,-5.8167,13.45,86.94,50,3,1.77,clear sky
88,Maksi,IN,23.2667,76.15,90.01,38,82,16.46,broken clouds
89,Hithadhoo,MV,-0.6,73.0833,84.09,70,89,16.6,overcast clouds
90,Klaksvik,FO,62.2266,-6.589,56.32,97,88,14.56,overcast clouds
91,Bambous Virieux,MU,-20.3428,57.7575,73.65,83,40,9.93,scattered clouds
92,Bluff,NZ,-46.6,168.3333,46.56,69,78,6.87,broken clouds
93,Dongsheng,CN,39.8161,109.9776,54.68,26,0,8.08,clear sky
94,Tahta,EG,26.7693,31.5021,107.92,9,0,10.31,clear sky
95,Lorengau,PG,-2.0226,147.2712,80.78,85,100,12.06,overcast clouds
96,Halifax,CA,44.6453,-63.5724,58.89,95,90,3.0,fog
97,Tessalit,ML,20.1986,1.0114,108.46,5,0,15.82,clear sky
98,Seoul,KR,37.5683,126.9778,64.0,82,40,2.73,scattered clouds
99,Chokurdakh,RU,70.6333,147.9167,53.22,53,36,8.55,scattered clouds
100,Khatanga,RU,71.9667,102.5,35.24,98,100,10.11,light rain
101,Bredasdorp,ZA,-34.5322,20.0403,58.32,77,21,7.47,few clouds
102,Vaini,TO,-21.2,-175.2,71.76,88,90,5.75,light rain
103,Avarua,CK,-21.2078,-159.775,62.65,94,65,2.3,broken clouds
104,Kavaratti,IN,10.5669,72.642,83.86,75,26,20.45,scattered clouds
105,Thompson,CA,55.7435,-97.8558,60.96,48,75,9.22,broken clouds
106,Namibe,AO,-15.1961,12.1522,73.45,66,1,13.58,clear sky
107,Visnes,NO,59.3556,5.2242,58.1,76,0,9.22,clear sky
108,Saskylakh,RU,71.9167,114.0833,48.04,63,81,11.01,broken clouds
109,Margate,GB,51.3813,1.3862,69.96,85,0,12.86,clear sky
110,Torbay,CA,47.6666,-52.7314,65.17,32,75,17.27,broken clouds
111,Airai,TL,-8.9266,125.4092,59.18,95,95,2.48,overcast clouds
112,Sangar,RU,63.9242,127.4739,45.79,66,36,1.54,scattered clouds
113,Kedrovoye,RU,57.1576,60.5698,47.64,68,91,3.18,overcast clouds
114,Pedasi,PA,7.5333,-80.0333,84.43,71,96,11.63,overcast clouds
115,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.99,93,90,11.5,overcast clouds
116,Fort Saint James,CA,54.4333,-124.25,60.6,63,92,2.66,overcast clouds
117,Srednekolymsk,RU,67.45,153.6833,54.05,45,5,7.61,clear sky
118,Port Hawkesbury,CA,45.6169,-61.3485,60.91,95,90,5.01,mist
119,Faanui,PF,-16.4833,-151.75,78.4,67,100,16.17,overcast clouds
120,Tasiilaq,GL,65.6145,-37.6368,35.83,80,15,7.92,few clouds
121,Eslamshahr,IR,35.5605,51.2346,89.04,8,0,7.94,clear sky
122,Torre-Pacheco,ES,37.7429,-0.954,74.55,61,20,5.21,few clouds
123,Sovetskaya Gavan,RU,48.9723,140.2878,38.14,76,38,2.98,scattered clouds
124,Kasempa,ZM,-13.4584,25.8338,62.6,37,2,4.72,clear sky
125,Norman Wells,CA,65.282,-126.8329,51.84,66,75,4.61,broken clouds
126,Jalu,LY,29.0331,21.5482,92.93,17,8,11.92,clear sky
127,General Pico,AR,-35.6566,-63.7568,63.34,50,93,4.88,light rain
128,Nanortalik,GL,60.1432,-45.2371,38.8,81,51,13.65,broken clouds
129,Road Town,VG,18.4167,-64.6167,86.2,66,40,10.36,scattered clouds
130,Valdivia,CL,-39.8142,-73.2459,59.09,98,100,7.7,heavy intensity rain
131,Ketchikan,US,55.3422,-131.6461,52.68,98,100,4.76,light rain
132,Loandjili,CG,-4.7561,11.8578,80.71,83,40,6.91,scattered clouds
133,Laguna,US,38.421,-121.4238,91.31,37,6,1.01,clear sky
134,Shasta Lake,US,40.6804,-122.3708,91.08,22,28,6.89,scattered clouds
135,Aloleng,PH,16.1307,119.7824,82.49,82,80,3.8,broken clouds
136,Banda Aceh,ID,5.5577,95.3222,80.01,81,92,13.96,overcast clouds
137,Inverell,AU,-29.7833,151.1167,46.17,71,77,3.78,broken clouds
138,Tamiahua,MX,21.2667,-97.45,88.02,58,50,9.89,scattered clouds
139,Guasdualito,VE,7.2424,-70.7324,78.8,94,93,5.75,overcast clouds
140,Fort Nelson,CA,58.8053,-122.7002,62.19,45,75,5.75,broken clouds
141,Ghanzi,BW,-21.5667,21.7833,64.8,25,66,4.92,broken clouds
142,Wasilla,US,61.5814,-149.4394,55.36,62,1,5.75,clear sky
143,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,77,77,9.51,broken clouds
144,Asau,RO,46.4333,26.4,56.32,80,98,4.56,overcast clouds
145,Dongtai,CN,32.8523,120.3095,66.09,71,23,9.55,light rain
146,Maniitsoq,GL,65.4167,-52.9,34.74,99,100,5.53,light rain
147,Hilo,US,19.7297,-155.09,84.27,98,90,0.0,light rain
148,Georgetown,MY,5.4112,100.3354,84.88,84,20,3.0,few clouds
149,Yenagoa,NG,4.9247,6.2642,77.5,90,100,7.78,overcast clouds
150,Ostrovnoy,RU,68.0531,39.5131,43.54,81,100,20.6,overcast clouds
151,Kampot,KH,10.6167,104.1833,84.25,85,15,7.7,few clouds
152,Grindavik,IS,63.8424,-22.4338,49.55,76,75,21.45,broken clouds
153,Feijo,BR,-8.1642,-70.3536,80.8,90,89,2.64,overcast clouds
154,Isangel,VU,-19.55,169.2667,70.45,66,80,11.63,broken clouds
155,Kalemie,CD,-5.9475,29.1947,72.97,65,29,4.92,scattered clouds
156,Xichang,CN,27.8964,102.2634,67.68,87,79,2.73,broken clouds
157,Whitehorse,CA,60.7161,-135.0538,50.02,70,75,15.99,broken clouds
158,Moanda,GA,-1.5575,13.2178,82.63,76,75,2.82,broken clouds
159,Cam Ranh,VN,11.9214,109.1591,84.16,74,40,5.79,scattered clouds
160,Saint-Philippe,RE,-21.3585,55.7679,71.22,81,20,5.55,few clouds
161,Salalah,OM,17.0151,54.0924,83.12,74,99,7.67,overcast clouds
162,Vibo Valentia,IT,38.6996,16.1274,64.99,66,68,5.19,broken clouds
163,Yarada,IN,17.65,83.2667,86.32,89,40,6.2,mist
164,Odesskoye,RU,54.2111,72.9651,65.82,86,100,6.76,light rain
165,Flinders,AU,-34.5833,150.8552,51.21,86,39,1.01,scattered clouds
166,Bunda,TZ,-2.05,33.8667,78.53,76,99,4.43,light rain
167,Lagoa,PT,39.05,-27.9833,60.71,74,100,21.97,overcast clouds
168,Palembang,ID,-2.9167,104.7458,76.48,94,99,2.89,overcast clouds
169,Sorland,NO,67.667,12.6934,50.07,87,100,4.14,overcast clouds
170,Camargo,MX,27.6667,-105.1667,84.74,26,9,7.11,clear sky
171,Leningradskiy,RU,69.3833,178.4167,29.57,93,90,11.72,overcast clouds
172,Kompaniyivka,UA,48.2511,32.208,56.98,74,100,14.9,overcast clouds
173,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,88,90,5.75,light intensity drizzle
174,Taguatinga,BR,-12.3857,-46.5711,93.81,20,5,5.53,clear sky
175,Ambilobe,MG,-13.2,49.05,72.81,75,6,4.09,clear sky
176,Qaqortoq,GL,60.7167,-46.0333,39.96,78,87,11.23,overcast clouds
177,Ust-Tsilma,RU,65.441,52.1498,49.15,57,95,5.93,overcast clouds
178,Lodja,CD,-3.4833,23.4333,77.92,43,65,2.1,broken clouds
179,Iquique,CL,-20.2208,-70.1431,64.44,69,31,8.57,scattered clouds
180,Jiwani,PK,25.05,61.7417,88.77,68,0,10.71,clear sky
181,Oildale,US,35.4197,-119.0195,96.94,30,0,3.15,clear sky
182,Porto Novo,BJ,6.4965,2.6036,87.62,71,70,13.02,broken clouds
183,San Cristobal,VE,7.7669,-72.225,77.18,51,86,8.08,overcast clouds
184,Manono,CD,-7.3,27.4167,77.5,38,52,4.63,broken clouds
185,Beringovskiy,RU,63.05,179.3167,32.43,87,92,8.5,overcast clouds
186,Mount Gambier,AU,-37.8333,140.7667,46.31,57,100,9.22,overcast clouds
187,Shelburne,CA,44.0787,-80.2041,69.67,31,33,8.52,scattered clouds
188,Umm Lajj,SA,25.0213,37.2685,87.8,53,4,7.56,clear sky
189,Codrington,AU,-38.2667,141.9667,47.16,45,100,10.74,overcast clouds
190,Karratha,AU,-20.7377,116.8463,68.92,47,99,13.18,overcast clouds
191,Nome,US,64.5011,-165.4064,52.16,52,93,2.77,overcast clouds
192,Kaitangata,NZ,-46.2817,169.8464,45.93,84,96,5.17,overcast clouds
193,Iisaku,EE,59.1014,27.3081,52.16,74,99,7.9,overcast clouds
194,Peleduy,RU,59.6289,112.7406,42.51,94,99,5.75,overcast clouds
195,Angoram,PG,-4.0625,144.0661,74.64,99,99,2.15,light rain
196,Dikson,RU,73.5069,80.5464,30.36,98,100,15.05,light snow
197,Sioux Lookout,CA,50.1001,-91.917,62.98,55,20,5.75,few clouds
198,Ilulissat,GL,69.2167,-51.1,33.39,89,100,2.91,overcast clouds
199,Talnakh,RU,69.4865,88.3972,32.13,92,100,6.87,overcast clouds
200,Riihimaki,FI,60.7377,24.7773,56.75,67,100,8.52,overcast clouds
201,East London,ZA,-33.0153,27.9116,61.74,72,0,2.3,clear sky
202,Barabai,ID,-2.5833,115.3833,75.92,89,88,1.77,overcast clouds
203,Brae,GB,60.3964,-1.353,48.11,77,4,12.28,clear sky
204,Victoria,HK,22.2855,114.1577,82.45,89,100,8.01,light rain
205,Sretensk,RU,52.2453,117.7093,50.0,97,100,2.59,light rain
206,Havelock,US,34.8791,-76.9013,75.97,62,1,4.0,clear sky
207,Bara,NG,10.3744,10.7288,96.58,26,37,4.47,scattered clouds
208,Meaford,CA,44.6001,-80.583,71.62,49,49,7.45,scattered clouds
209,Camacha,PT,33.0833,-16.3333,65.16,88,75,10.36,broken clouds
210,Alice,US,27.7523,-98.0697,85.73,53,24,16.17,few clouds
211,Fort Wellington,GY,6.4,-57.6,80.56,83,71,10.96,broken clouds
212,Tondano,ID,1.3038,124.9112,69.89,95,100,2.35,overcast clouds
213,Buchanan,LR,5.8808,-10.0467,85.96,91,100,9.37,light rain
214,Nicoya,CR,10.1483,-85.452,83.75,50,13,8.3,few clouds
215,Teguldet,RU,57.3064,88.1667,50.22,63,20,6.38,few clouds
216,Cidreira,BR,-30.1811,-50.2056,61.38,39,1,8.75,clear sky
217,Severobaykalsk,RU,55.65,109.3167,37.87,78,95,6.26,overcast clouds
218,Igarka,RU,67.4667,86.5833,34.5,75,100,5.95,overcast clouds
219,Kurush,RU,41.2841,47.8345,49.89,85,40,5.37,scattered clouds
220,Cabedelo,BR,-6.9811,-34.8339,83.07,79,36,14.05,scattered clouds
221,Makubetsu,JP,45.3714,141.8211,38.84,88,8,1.43,clear sky
222,Atar,MR,20.5169,-13.0499,104.43,15,43,6.13,scattered clouds
223,Nsanje,MW,-16.92,35.262,71.28,51,13,4.0,few clouds
224,Barrancabermeja,CO,7.0653,-73.8547,92.71,51,79,1.63,broken clouds
225,Rostovka,RU,55.3842,71.8891,61.75,95,82,8.95,broken clouds
226,Avera,US,33.194,-82.5271,78.71,43,55,6.53,broken clouds
227,Hlobyne,UA,49.3878,33.2596,54.45,76,100,12.3,overcast clouds
228,Morros,BR,-9.4467,-46.3003,90.91,24,74,6.11,broken clouds
229,Lompoc,US,34.6391,-120.4579,75.11,87,75,3.0,broken clouds
